date,favourites_count,followers_count,language,location,retweet_count,screen_name,tweet,tweet_id,verified,hashtags,clean_tweet,processed_tweet
2020-09-14 04:22:01,621.0,88.0,en,"Dallas, TX",730.0,AmarChaparala,"RT @naralokesh: No masks. No social distancing. Even though AP is clocking 10,000 #Covid19 cases a day, YSRCP legislators continue to sham…",1.305361133591765e+18,0.0,['Covid19'],": No masks. No social distancing. Even though AP is clocking cases a day, YSRCP legislators continue to sham","[':', 'No', 'mask', 'No', 'social', 'distanc', 'even', 'though', 'AP', 'clock', 'case', 'day', 'ysrcp', 'legisl', 'continu', 'sham']"
2020-09-14 04:23:16,94288.0,14987.0,en,"Los Angeles, CA",0.0,AnnLHamilton,"@realDonaldTrump Beautiful super spreader event in Henderson, Nevada with people who should have been wearing masks and practicing social distancing. COVID says thank you!",1.3053614501189632e+18,0.0,[],"Beautiful super spreader event in Henderson, Nevada with people who should have been wearing masks and practicing social distancing. COVID says thank you!","['beauti', 'super', 'spreader', 'event', 'henderson', 'nevada', 'peopl', 'wear', 'mask', 'practic', 'social', 'distanc', 'covid', 'say', 'thank', '!']"
2020-09-14 04:24:25,17077.0,693.0,en,"Nevada, USA",0.0,dizzleflyzz619,"@News3LV Southern Nevada remains a hot spot and we just had an indoor rally by the super spreader Covid-in-chief. No masks, no social distancing as recommended by the Surgeon General in this article. So, here we are.",1.3053617378357166e+18,0.0,[],"Southern Nevada remains a hot spot and we just had an indoor rally by the super spreader Covid-in-chief. No masks, no social distancing as recommended by the Surgeon General in this article. So, here we are.","['southern', 'nevada', 'remain', 'hot', 'spot', 'indoor', 'ralli', 'super', 'spreader', 'covid-in-chief', 'No', 'mask', 'social', 'distanc', 'recommend', 'surgeon', 'gener', 'articl', 'So']"
2020-09-14 04:27:16,5182.0,59.0,en,United States,0.0,SaneQuite,"@realDonaldTrump Love the social distancing with no masks apparent! Bravo 👏 hope we don’t have a spike again, just like in Tulsa when you know.... a big Republican died... of Covid...",1.3053624550490604e+18,0.0,[],"Love the social distancing with no masks apparent! Bravo hope we dont have a spike again, just like in Tulsa when you know.... a big Republican died... of Covid...","['love', 'social', 'distanc', 'mask', 'appar', '!', 'bravo', 'hope', 'dont', 'spike', 'like', 'tulsa', 'know', '....', 'big', 'republican', 'die', '...', 'covid', '...']"
2020-09-14 04:31:00,14320.0,1560.0,en,Los Angeles,0.0,Baadmaster,@electroboyusa @Carolyn4GA7 This MAGA cult would all take bullets for Trump. Drinking the Kool Aid if asked is a major characteristic of cults. They are already demonstrating this cultish behavior by risking COVID to attend his rallies without masks or social distancing. This is very scary.,1.3053633935413576e+18,0.0,[],This MAGA cult would all take bullets for Trump. Drinking the Kool Aid if asked is a major characteristic of cults. They are already demonstrating this cultish behavior by risking COVID to attend his rallies without masks or social distancing. This is very scary.,"['thi', 'maga', 'cult', 'would', 'take', 'bullet', 'trump', 'drink', 'kool', 'aid', 'ask', 'major', 'characterist', 'cult', 'they', 'alreadi', 'demonstr', 'cultish', 'behavior', 'risk', 'covid', 'attend', 'ralli', 'without', 'mask', 'social', 'distanc', 'thi', 'scari']"
2020-09-29 18:00:16,45990.0,82668.0,en,NYC,30.0,AndyOstroy,"Dear fellow Americans: #Covid19 is the flooded town. Masks and distancing is the dam. The flooding stopped. But then many of you decided that because the flooding 'magically' stopped, we don't need that unsightly dam anymore. #Coronavirus is not gone. #WearADamnMask",1.3110028698652877e+18,1.0,"['Covid19', 'Coronavirus', 'WearADamnMask']","Dear fellow Americans: is the flooded town. Masks and distancing is the dam. The flooding stopped. But then many of you decided that because the flooding 'magically' stopped, we don't need that unsightly dam anymore. is not gone.","['dear', 'fellow', 'american', ':', 'flood', 'town', 'mask', 'distanc', 'dam', 'the', 'flood', 'stop', 'but', 'mani', 'decid', 'flood', ""'magic"", 'stop', ""n't"", 'need', 'unsightli', 'dam', 'anymor', 'gone']"
2020-09-29 18:00:24,41098.0,799.0,en,"Maryland, USA",0.0,nancytoby,@MollyJongFast They are all social distancing from the woman. They would have done that pre-Covid though.,1.3110029047660954e+18,0.0,[],They are all social distancing from the woman. They would have done that pre-Covid though.,"['they', 'social', 'distanc', 'woman', 'they', 'would', 'done', 'pre-covid', 'though']"
2020-09-29 18:00:47,47225.0,292.0,en,MA,30.0,LauraRing6,RT @AndyOstroy: Dear fellow Americans: #Covid19 is the flooded town. Masks and distancing is the dam. The flooding stopped. But then many o…,1.3110030004466074e+18,0.0,['Covid19'],: Dear fellow Americans: is the flooded town. Masks and distancing is the dam. The flooding stopped. But then many o,"[':', 'dear', 'fellow', 'american', ':', 'flood', 'town', 'mask', 'distanc', 'dam', 'the', 'flood', 'stop', 'but', 'mani']"
2020-09-29 18:01:12,135.0,1489.0,en,Oxford,0.0,jeremy_hume,"@cpatrick81 @fascinatorfun The lockdown in Spain was very strict. In Spain masks must be worn indoors and outdoors. Despite this Spanish cases rose sharply in September. Mandatory distancing/mask simply wearing does not work. Boris's coronavirus restrictions will achieve nothing, they will make us poorer.",1.3110031070322117e+18,0.0,[],"The lockdown in Spain was very strict. In Spain masks must be worn indoors and outdoors. Despite this Spanish cases rose sharply in September. Mandatory distancing/mask simply wearing does not work. Boris's coronavirus restrictions will achieve nothing, they will make us poorer.","['the', 'lockdown', 'spain', 'strict', 'In', 'spain', 'mask', 'must', 'worn', 'indoor', 'outdoor', 'despit', 'spanish', 'case', 'rose', 'sharpli', 'septemb', 'mandatori', 'distancing/mask', 'simpli', 'wear', 'work', 'bori', ""'s"", 'coronaviru', 'restrict', 'achiev', 'noth', 'make', 'us', 'poorer']"
2020-09-29 18:02:28,35.0,498.0,en,"Sugar Land, TX",0.0,SterlingTherapy,"In order to keep our #patients and #staff #safe, we have reduced the total number of people we see each day to allow for social distancing in the clinic. #socialdistancing #covid19",1.311003426629845e+18,0.0,"['patients', 'staff', 'safe', 'socialdistancing', 'covid19']","In order to keep our and , we have reduced the total number of people we see each day to allow for social distancing in the clinic.","['In', 'order', 'keep', 'reduc', 'total', 'number', 'peopl', 'see', 'day', 'allow', 'social', 'distanc', 'clinic']"
